klantnr;huidig_contractduur;VERBRUIKGAS;VERBRUIKEL;VERBRUIKHOOG;VERBRUIKLAAG;nieuwsbrief;wervingskanaal;vast_variabel;grijs_groen;startlevering;eindlevering;contract_verlengd;welstand;levensfase;bouwjaar;soort_woning;inkomen;opleiding
129431;12;1800;0;1818;0;Y;Telemarketing;vaste prijs;grijze stroom;29-5-2005;28-3-2006;verlengd;Laag;Alleenstaand;1970 tot 1989;Lage flat;tussen modaal en minimum;Midden
129438;99;2050;0;4318;0;Y;Telemarketing;vaste prijs;grijze stroom;29-5-2005;30-9-2008;verlengd;Hoog;Paar met kinderen;1940 tot 1969;Rijtjeshuis;Onbekend;Laag
129462;12;3717;5927;0;0;Y;Telemarketing;vaste prijs;grijze stroom;16-7-2005;11-2-2006;verlengd;Midden;Paar met kinderen;1990 tot 1999;Vrijstaand;tussen modaal en 2 keer modaal;Laag
129465;12;2532;0;3244;2689;Y;Door 2 Door;vaste prijs;grijze stroom;16-7-2005;2-8-2006;niet verlengd;Midden;Alleenstaand;1940 tot 1969;Twee onder een kap;modaal;Hoog
129537;12;1361;1086;867;916;Y;Prijsvergelijker;vaste prijs;grijze stroom;29-5-2005;29-12-2010;niet verlengd;Laag;Paar zonder kinderen; ; ; ;
129665;12;2004;0;1934;2117;Y;Telemarketing;variabele prijs;grijze stroom;2-6-2005;3-10-2005;verlengd;Midden;Alleenstaand;na 2000;Vrijstaand;tussen modaal en 2 keer modaal;Laag
129676;12;996;0;2823;2175;N;Telemarketing;vaste prijs;grijze stroom;30-6-2005;30-6-2011;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Hoog
129689;12;272;3856;0;0;Y;Telemarketing;vaste prijs;grijze stroom;2-6-2005;1-3-2006;verlengd;Midden;Alleenstaand;1970 tot 1989;Vrijstaand;tussen modaal en 2 keer modaal;Midden
129830;12;1854;0;2032;2234;Y;Telemarketing;vaste prijs;grijze stroom;2-6-2005;16-2-2006;verlengd;Hoog;Paar met kinderen;1970 tot 1989;Rijtjeshuis;Onbekend;Midden
129850;36;2405;0;2884;3250;Y;Speciale sales acties;variabele prijs;grijze stroom;2-6-2005;25-3-2012;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal keer modaal of meer;Hoog
129894;12;1593;0;2239;1764;Y;Telemarketing;vaste prijs;grijze stroom;2-6-2005;14-8-2006;niet verlengd;Hoog;Paar met kinderen;Onbekend;Vrijstaand;Onbekend;Laag
129924;12;1643;0;1059;858;Y;Online;vaste prijs;grijze stroom;2-6-2005;1-6-2006;verlengd;Hoog;Paar met kinderen;1990 tot 1999;Rijtjeshuis;tussen modaal en 2 keer modaal keer modaal of meer;Laag
129992;36;2627;11000;0;0;Y;Telemarketing;variabele prijs;grijze stroom;2-6-2005;1-1-2012;niet verlengd;Midden;Paar met kinderen;Onbekend;Vrijstaand;tussen modaal en 2 keer modaal;Midden
129994;99;871;0;1348;1898;Y;Telemarketing;vaste prijs;grijze stroom;2-6-2005;2-9-2017;verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
130618;12;1533;0;2944;2604;Y;Telemarketing;vaste prijs;grijze stroom;2-6-2005;2-10-2007;niet verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Rijtjeshuis;modaal;Midden
130640;24;1768;0;2736;2028;Y;Telemarketing;vaste prijs;grijze stroom;2-6-2005;14-6-2008;niet verlengd;Hoog;Alleenstaand;1940 tot 1969;Rijtjeshuis;Onbekend;Laag
130779;12;882;0;1402;1729;Y;Telemarketing;vaste prijs;grijze stroom;2-6-2005;1-7-2006;niet verlengd;Laag;Alleenstaand;Onbekend;Onbekend;Onbekend;Midden
130791;12;0;0;1277;969;Y;Telemarketing;vaste prijs;grijze stroom;2-6-2005;22-12-2005;verlengd;Hoog;Paar met kinderen;1990 tot 1999;Rijtjeshuis;Onbekend;Midden
130798;12;653;0;6291;0;Y;Telemarketing;vaste prijs;grijze stroom;2-6-2005;17-8-2007;niet verlengd;Hoog;Paar zonder kinderen;1940 tot 1969;Etage;Onbekend;Midden
130875;12;0;1946;1018;1089;Y;Prijsvergelijker;vaste prijs;grijze stroom;2-6-2005;30-6-2006;niet verlengd;Midden;Paar met kinderen;1990 tot 1999;Lage flat;modaal;Laag
130894;99;4245;4366;3188;3921;Y;Inbound;vaste prijs;grijze stroom;28-5-2005;28-8-2017;verlengd;Midden;Paar met kinderen;Onbekend;Rijtjeshuis;Onbekend;Midden
130959;12;1592;3275;0;0;Y;Online;vaste prijs;grijze stroom;3-6-2005;3-6-2011;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Hoog
131167;12;1323;0;3840;3241;Y;Online;vaste prijs;grijze stroom;24-6-2005;14-3-2007;niet verlengd;Laag;Alleenstaand;1940 tot 1969;Rijtjeshuis;minimum;Hoog
131181;12;1201;2903;0;0;Y;Telemarketing;variabele prijs;grijze stroom;3-6-2005;21-6-2006;niet verlengd;Midden;Paar met kinderen;1970 tot 1989;Rijtjeshuis;tussen modaal en 2 keer modaal;Laag
131233;12;811;0;3275;0;Y;Online;vaste prijs;grijze stroom;16-7-2005;1-4-2007;niet verlengd;Laag;Paar zonder kinderen;1990 tot 1999;Rijtjeshuis;tussen modaal en minimum;Hoog
131251;12;1681;2238;0;0;Y;Telemarketing;vaste prijs;grijze stroom;28-5-2005;12-6-2006;niet verlengd;Midden;Paar zonder kinderen;Voor 1899;Maisonette;tussen modaal en 2 keer modaal;Midden
131263;12;629;0;1545;0;Y;Door 2 Door;vaste prijs;grijze stroom;28-5-2005;2-5-2007;niet verlengd;Laag;Alleenstaand;1940 tot 1969;Maisonette;tussen modaal en minimum;Laag
131326;12;2882;2491;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;17-5-2005;16-2-2006;verlengd;Midden;Paar met kinderen;1970 tot 1989;Rijtjeshuis;modaal;Hoog
131333;12;2200;0;1321;1837;N;Inbound;vaste prijs;grijze stroom;5-6-2005;5-6-2011;niet verlengd;Midden;Paar zonder kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Hoog
131752;12;1952;2500;0;0;Y;Telemarketing;vaste prijs;grijze stroom;31-7-2005;27-3-2006;verlengd;Hoog;Paar met kinderen;1970 tot 1989;Rijtjeshuis;tussen modaal en 2 keer modaal keer modaal of meer;Midden
131756;99;2756;0;1465;1550;Y;Telemarketing;vaste prijs;grijze stroom;31-7-2005;28-2-2009;verlengd;Laag;Paar zonder kinderen;1900 tot 1939;Maisonette;modaal;Midden
131773;12;0;2113;0;0;Y;Telemarketing;vaste prijs;grijze stroom;24-6-2005;25-3-2006;verlengd;Midden;Paar met kinderen;1970 tot 1989;Rijtjeshuis;modaal;Midden
131841;12;1613;0;462;1164;Y;Online;vaste prijs;grijze stroom;24-6-2005;15-5-2006;verlengd;Midden;Paar met kinderen;1970 tot 1989;Rijtjeshuis;tussen modaal en 2 keer modaal;Hoog
131954;12;1236;0;1623;1435;Y;Telemarketing;vaste prijs;grijze stroom;23-7-2005;22-9-2005;verlengd;Laag;Alleenstaand;na 2000;Maisonette;minimum;Hoog
131976;36;1064;0;1522;1946;Y;Telemarketing;vaste prijs;grijze stroom;24-6-2005;1-1-2008;verlengd;Midden;Paar zonder kinderen;1940 tot 1969;Onbekend;Onbekend;Laag
132007;99;1681;0;4640;3871;Y;Telemarketing;vaste prijs;grijze stroom;31-7-2005;8-12-2008;verlengd;Hoog;Paar met kinderen;Onbekend;VrijstaandOnbekend;Onbekend;Midden
132033;12;2717;3148;0;0;Y;Telemarketing;vaste prijs;grijze stroom;3-7-2005;8-9-2005;verlengd;Hoog;Alleenstaand;1990 tot 1999;Maisonette;tussen modaal en 2 keer modaal keer modaal of meer;Hoog
132034;12;10546;38139;0;0;Y;Telemarketing;variabele prijs;grijze stroom;24-11-2005;28-12-2005;verlengd;Hoog;Alleenstaand;na 2000;Onbekend;Onbekend;Laag
132058;24;1584;0;2928;3215;Y;Online;vaste prijs;grijze stroom;30-5-2005;9-7-2008;niet verlengd;Laag;Alleenstaand;1940 tot 1969;Rijtjeshuis;tussen modaal en minimum;Laag
132276;36;1896;0;3765;0;Y;Telemarketing;vaste prijs;grijze stroom;4-7-2005;15-5-2008;verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Vrijstaand;Onbekend;Midden
132292;36;2978;0;5691;6900;Y;Door 2 Door;variabele prijs;grijze stroom;31-7-2005;1-1-2012;niet verlengd;Laag;Paar zonder kinderen; ; ; ;Midden
132350;12;1544;0;1884;2157;Y;Telemarketing;vaste prijs;grijze stroom;31-7-2005;12-5-2006;verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Onbekend;Onbekend;Laag
132385;36;660;0;1861;2915;Y;Speciale sales acties;variabele prijs;grijze stroom;24-6-2005;25-5-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Midden
132445;12;2389;0;2029;2047;Y;Telemarketing;variabele prijs;grijze stroom;24-6-2005;2-11-2005;verlengd;Midden;Alleenstaand;na 2000;Rijtjeshuis;modaal;Laag
132500;99;1059;1342;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;24-6-2005;24-9-2017;verlengd;Laag;Paar zonder kinderen;Voor 1899;Maisonette;tussen modaal en minimum;Hoog
132532;12;0;0;2156;2004;Y;Inbound;vaste prijs;grijze stroom;24-6-2005;24-5-2011;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Laag
132673;24;1097;0;1846;0;Y;Telemarketing;vaste prijs;grijze stroom;21-7-2005;29-5-2007;verlengd;Laag;Paar met kinderen;Onbekend;Lage flat;modaal;Hoog
132735;99;2272;0;3663;2970;Y;Speciale sales acties;vaste prijs;grijze stroom;30-6-2005;31-3-2010;verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Midden
132762;36;3636;0;2220;2133;Y;Online;variabele prijs;grijze stroom;31-7-2005;1-1-2012;niet verlengd;Midden;Paar zonder kinderen;Onbekend;Onbekend;Onbekend;Midden
132949;99;2741;3970;0;0;Y;Door 2 Door;vaste prijs;grijze stroom;31-7-2005;31-10-2017;verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Hoog
132983;36;4274;7068;0;0;Y;Online;variabele prijs;grijze stroom;31-7-2005;1-1-2012;niet verlengd;Midden;Paar zonder kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
132989;24;6509;0;7123;5440;Y;Door 2 Door;vaste prijs;grijze stroom;24-6-2005;2-3-2008;niet verlengd;Midden;Paar zonder kinderen;1940 tot 1969;Vrijstaand;tussen modaal en 2 keer modaal;Laag
133055;12;2963;0;5696;4512;Y;Door 2 Door;vaste prijs;grijze stroom;17-7-2005;15-2-2006;verlengd;Laag;Paar met kinderen;Onbekend;VrijstaandOnbekend;Onbekend;Hoog
133073;36;1356;0;2284;2493;Y;Online;variabele prijs;grijze stroom;24-6-2005;30-6-2013;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en minimum;Laag
133091;36;1973;0;3286;2250;Y;Telemarketing;variabele prijs;grijze stroom;17-7-2005;1-1-2012;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Midden
133125;36;3728;0;3856;3888;N;Online;variabele prijs;grijze stroom;24-6-2005;15-10-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Vrijstaand;Onbekend;Midden
133199;12;4000;0;1344;1747;N;Telemarketing;vaste prijs;grijze stroom;31-7-2005;9-10-2006;niet verlengd;Midden;Paar met kinderen;1940 tot 1969;Rijtjeshuis;tussen modaal en 2 keer modaal;Hoog
133231;12;1965;0;3575;2886;Y;Telemarketing;vaste prijs;grijze stroom;31-7-2005;16-1-2006;verlengd;Midden;Alleenstaand;1990 tot 1999;Rijtjeshuis;Onbekend;Laag
133297;99;664;1983;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;30-7-2005;31-10-2017;verlengd;Midden;Paar met kinderen;1900 tot 1939;Maisonette;modaal;Midden
133451;36;1438;4538;0;0;Y;Door 2 Door;variabele prijs;grijze stroom;31-7-2005;1-1-2012;niet verlengd;Laag;Paar zonder kinderen; ; ; ;Midden
133473;36;1790;2410;0;0;Y;Speciale sales acties;variabele prijs;grijze stroom;24-6-2005;1-1-2012;niet verlengd;Hoog;Paar zonder kinderen;Voor 1899;Onbekend;tussen modaal en 2 keer modaal;Hoog
133487;36;42;4429;3404;0;Y;Speciale sales acties;vaste prijs;grijze stroom;17-7-2005;26-10-2008;niet verlengd;Midden;Alleenstaand;1940 tot 1969;Vrijstaand;tussen modaal en 2 keer modaal;Midden
133717;99;5274;0;4476;342;Y;Telemarketing;vaste prijs;grijze stroom;17-7-2005;11-12-2008;verlengd;Midden;Paar zonder kinderen;1900 tot 1939;Maisonette;tussen modaal en 2 keer modaal;Laag
133768;99;1611;0;1633;1601;N;Online;vaste prijs;grijze stroom;31-7-2005;17-2-2009;verlengd;Midden;Paar zonder kinderen;1900 tot 1939;Twee onder een kap;modaal;Midden
133784;12;2666;3148;0;0;Y;Door 2 Door;vaste prijs;grijze stroom;4-11-2005;29-9-2006;verlengd;Midden;Paar met kinderen;1970 tot 1989;Rijtjeshuis;modaal;Hoog
133825;12;1015;6290;0;0;Y;Door 2 Door;vaste prijs;grijze stroom;31-7-2005;31-7-2008;niet verlengd;Laag;Paar zonder kinderen;1940 tot 1969;Rijtjeshuis;tussen modaal en minimum;Hoog
133879;99;1429;0;3040;2485;Y;Online;vaste prijs;grijze stroom;31-7-2005;31-10-2017;verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
133899;24;1791;0;4319;5181;Y;Prijsvergelijker;vaste prijs;grijze stroom;24-6-2005;21-12-2005;verlengd;Laag;Alleenstaand;1990 tot 1999;Rijtjeshuis;tussen modaal en minimum;Midden
133937;12;1912;0;589;504;Y;Telemarketing;vaste prijs;grijze stroom;17-7-2005;30-3-2007;niet verlengd;Laag;Paar met kinderen;1970 tot 1989;Lage flat;minimum;Laag
133971;99;1500;0;3127;4200;Y;Speciale sales acties;vaste prijs;grijze stroom;31-7-2005;31-10-2017;verlengd;Hoog;Paar zonder kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Hoog
134055;36;125;0;648;583;Y;Telemarketing;variabele prijs;grijze stroom;31-7-2005;1-1-2012;niet verlengd;Midden;Paar zonder kinderen;Voor 1899;Lage flat;tussen modaal en 2 keer modaal;Laag
134164;12;2000;0;4000;0;Y;Telemarketing;variabele prijs;grijze stroom;8-7-2005;30-7-2005;verlengd;Midden;Alleenstaand;na 2000;Rijtjeshuis;modaal;Midden
134240;12;2796;40767;0;0;Y;Online;vaste prijs;grijze stroom;30-6-2005;19-1-2007;niet verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Vrijstaand;tussen modaal en 2 keer modaal;Laag
134314;12;3322;1406;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;2-8-2005;8-8-2006;niet verlengd;Midden;Alleenstaand;1940 tot 1969;Twee onder een kap;modaal;Laag
134363;36;2177;0;785;645;Y;Online;variabele prijs;grijze stroom;24-6-2005;1-1-2012;niet verlengd;Midden;Paar zonder kinderen;Voor 1899;Maisonette;tussen modaal en minimum;Laag
134395;12;2971;0;9501;7893;Y;Telemarketing;vaste prijs;grijze stroom;31-7-2005;31-8-2005;verlengd;Hoog;Alleenstaand;na 2000;Vrijstaand;Onbekend;Laag
134412;12;1653;2796;0;0;Y;Telemarketing;vaste prijs;grijze stroom;24-6-2005;22-6-2006;verlengd;Hoog;Paar met kinderen;1990 tot 1999;Rijtjeshuis;Onbekend;Midden
134418;99;2008;0;2249;1804;Y;Telemarketing;vaste prijs;grijze stroom;17-7-2005;10-11-2008;verlengd;Laag;Paar zonder kinderen;1940 tot 1969;Rijtjeshuis;Onbekend;Hoog
134458;99;2472;0;1312;3885;Y;Telemarketing;vaste prijs;grijze stroom;24-6-2005;24-9-2017;verlengd;Laag;Paar met kinderen;Voor 1899;Zelfstandige bejaarde;tussen modaal en minimum;Midden
134561;99;5885;0;5702;0;Y;Telemarketing;vaste prijs;grijze stroom;24-6-2005;1-2-2007;verlengd;Midden;Paar met kinderen;Onbekend;Vrijstaand;tussen modaal en 2 keer modaal;Midden
134644;99;1625;4052;0;0;Y;Telemarketing;vaste prijs;grijze stroom;17-7-2005;17-10-2017;verlengd;Midden;Paar met kinderen;1900 tot 1939;Lage flat;tussen modaal en 2 keer modaal;Hoog
134703;12;2000;0;3529;0;Y;Telemarketing;variabele prijs;grijze stroom;24-6-2005;18-7-2005;verlengd;Midden;Alleenstaand;na 2000;Onbekend;Onbekend;Midden
134809;12;1031;0;1114;1063;Y;Prijsvergelijker;vaste prijs;grijze stroom;30-6-2005;2-10-2007;niet verlengd;Midden;Paar met kinderen;1940 tot 1969;Rijtjeshuis;tussen modaal en 2 keer modaal;Midden
135069;12;940;1660;0;0;N;Prijsvergelijker;vaste prijs;grijze stroom;30-6-2005;31-7-2006;niet verlengd;Laag;Paar zonder kinderen;1940 tot 1969;Lage flat;minimum;Midden
135131;36;387;0;2302;2927;Y;Online;vaste prijs;grijze stroom;26-6-2005;19-3-2007;verlengd;Laag;Alleenstaand;1940 tot 1969;Lage flat;tussen modaal en minimum;Laag
135145;36;1451;0;2174;2659;Y;Online;variabele prijs;grijze stroom;26-6-2005;24-9-2009;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Hoog
135150;12;741;0;2154;0;Y;Telemarketing;vaste prijs;grijze stroom;26-6-2005;26-6-2007;niet verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Rijtjeshuis;tussen modaal en 2 keer modaal;Laag
135171;36;3408;2397;2398;0;Y;Prijsvergelijker;variabele prijs;grijze stroom;27-6-2005;23-2-2013;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
135232;99;4438;0;8949;0;Y;Inbound;vaste prijs;grijze stroom;25-6-2005;3-5-2006;verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Vrijstaand;tussen modaal en 2 keer modaal;Hoog
135235;12;6528;0;158;106;Y;Prijsvergelijker;vaste prijs;grijze stroom;24-7-2005;10-6-2006;verlengd;Hoog;Paar zonder kinderen;1970 tot 1989;Rijtjeshuis;Onbekend;Hoog
135287;99;2012;0;2079;1753;Y;Telemarketing;variabele prijs;grijze stroom;30-6-2005;29-5-2009;verlengd;Hoog;Paar zonder kinderen;1900 tot 1939;Rijtjeshuis;tussen modaal en 2 keer modaal keer modaal of meer;Hoog
135345;99;3014;0;1836;2737;Y;Door 2 Door;vaste prijs;grijze stroom;21-7-2005;21-10-2017;verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Hoog
135363;99;6069;10839;2873;2548;Y;Prijsvergelijker;variabele prijs;grijze stroom;7-7-2005;7-10-2017;verlengd;Hoog;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal keer modaal of meer;Midden
135390;12;8824;0;11931;12277;Y;Online;vaste prijs;grijze stroom;30-6-2005;29-8-2006;niet verlengd;Midden;Paar met kinderen;1940 tot 1969;Studenten en flats;modaal;Hoog
135415;12;746;979;0;0;Y;Telemarketing;vaste prijs;grijze stroom;3-7-2005;16-2-2006;verlengd;Laag;Paar met kinderen;1970 tot 1989;Lage flat;minimum;Hoog
135458;99;0;4032;0;0;Y;Door 2 Door;vaste prijs;grijze stroom;21-7-2005;21-10-2017;verlengd;Midden;Paar zonder kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Laag
135463;12;1490;0;3273;0;Y;Telemarketing;vaste prijs;grijze stroom;30-6-2005;24-5-2007;niet verlengd;Laag;Paar zonder kinderen;1940 tot 1969;Rijtjeshuis;tussen modaal en minimum;Hoog
135584;12;904;0;2033;1970;Y;Online;vaste prijs;grijze stroom;30-6-2005;17-12-2007;niet verlengd;Midden;Paar zonder kinderen;1940 tot 1969;Rijtjeshuis;modaal;Midden
135602;99;18426;32038;3871;3759;Y;Telemarketing;vaste prijs;grijze stroom;30-6-2005;20-12-2009;verlengd;Midden;Paar met kinderen;1900 tot 1939;Twee onder een kap;tussen modaal en 2 keer modaal;Hoog
135732;24;1407;0;900;600;Y;Telemarketing;vaste prijs;grijze stroom;30-6-2005;30-6-2006;verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Lage flat;tussen modaal en 2 keer modaal;Hoog
135780;36;3456;0;4759;0;Y;Telemarketing;vaste prijs;grijze stroom;7-7-2005;20-12-2007;verlengd;Midden;Paar zonder kinderen;1940 tot 1969;Rijtjeshuis;Onbekend;Midden
135816;12;1225;0;1974;2148;Y;Telemarketing;vaste prijs;grijze stroom;30-6-2005;30-6-2006;verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Rijtjeshuis;tussen modaal en 2 keer modaal;Laag
135850;99;1587;0;1699;3579;Y;Telemarketing;vaste prijs;grijze stroom;30-6-2005;23-5-2009;verlengd;Midden;Paar zonder kinderen;1900 tot 1939;Onbekend;modaal;Hoog
135858;12;2000;0;997;901;Y;Telemarketing;vaste prijs;grijze stroom;30-6-2005;7-6-2006;verlengd;Midden;Alleenstaand;1970 tot 1989;Hoge flat;Onbekend;Midden
135863;36;2558;0;1401;0;Y;Telemarketing;variabele prijs;grijze stroom;4-7-2005;1-1-2012;niet verlengd;Laag;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Laag
135872;12;1102;0;2653;2322;Y;Door 2 Door;vaste prijs;grijze stroom;30-6-2005;13-4-2007;niet verlengd;Hoog;Alleenstaand;Onbekend;Onbekend;Onbekend;Hoog
136012;12;1771;4842;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;1-7-2005;30-4-2006;verlengd;Midden;Paar met kinderen;1970 tot 1989;Rijtjeshuis;modaal;Hoog
136080;99;3511;0;21729;11069;Y;Telemarketing;vaste prijs;grijze stroom;31-7-2005;31-10-2017;verlengd;Hoog;Paar met kinderen;Onbekend;Onbekend;Onbekend;Hoog
136122;12;2293;0;2959;1758;Y;Telemarketing;vaste prijs;grijze stroom;7-7-2005;23-3-2006;verlengd;Midden;Paar met kinderen;1970 tot 1989;Rijtjeshuis;Onbekend;Hoog
136135;36;1407;2291;0;0;Y;Online;variabele prijs;grijze stroom;23-7-2005;1-1-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Laag
136138;12;1956;0;3668;0;Y;Telemarketing;vaste prijs;grijze stroom;2-7-2005;23-3-2006;verlengd;Midden;Paar met kinderen;1970 tot 1989;Twee onder een kap;tussen modaal en 2 keer modaal;Laag
136141;99;425;0;1513;1375;Y;Online;vaste prijs;grijze stroom;2-7-2005;10-12-2017;verlengd;Hoog;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Hoog
136142;12;2065;0;2463;2119;Y;Telemarketing;vaste prijs;grijze stroom;2-7-2005;20-5-2006;verlengd;Midden;Paar met kinderen;1970 tot 1989;Twee onder een kap;tussen modaal en 2 keer modaal;Laag
136162;99;2149;0;2311;2608;Y;Telemarketing;vaste prijs;grijze stroom;2-7-2005;16-10-2008;verlengd;Midden;Paar met kinderen;1970 tot 1989;Maisonette;Onbekend;Laag
136176;99;2032;0;1933;2473;Y;Telemarketing;vaste prijs;grijze stroom;2-7-2005;31-12-2009;verlengd;Hoog;Paar met kinderen;Onbekend;Onbekend;Onbekend;Laag
136232;12;2153;0;1577;1290;Y;Online;vaste prijs;grijze stroom;2-7-2005;20-2-2007;niet verlengd;Laag;Paar met kinderen;1940 tot 1969;Rijtjeshuis;tussen modaal en minimum;Midden
136255;36;1710;0;1925;2229;Y;Telemarketing;variabele prijs;grijze stroom;2-7-2005;15-3-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;tussen modaal en 2 keer modaal;Midden
136420;24;919;2937;0;0;Y;Online;vaste prijs;grijze stroom;7-7-2005;31-7-2005;verlengd;Laag;Alleenstaand;na 2000;Rijtjeshuis;tussen modaal en minimum;Hoog
136423;24;2551;0;2975;1737;Y;Telemarketing;vaste prijs;grijze stroom;21-7-2005;22-7-2006;verlengd;Hoog;Paar met kinderen;1900 tot 1939;Vrijstaand;Onbekend;Laag
136483;99;35269;0;26615;19065;Y;Telemarketing;vaste prijs;grijze stroom;7-7-2005;8-7-2009;verlengd;Hoog;Paar met kinderen;1900 tot 1939;Woonwagens;Onbekend;Hoog
136520;12;1878;0;3358;2548;Y;Telemarketing;variabele prijs;grijze stroom;7-7-2005;11-8-2006;niet verlengd;Midden;Paar met kinderen;Onbekend;Rijtjeshuis;tussen modaal en 2 keer modaal;Laag
136593;12;2147;6173;0;0;Y;Telemarketing;vaste prijs;grijze stroom;14-7-2005;14-1-2007;niet verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Rijtjeshuis;Onbekend;Hoog
136611;99;1820;0;2222;2068;Y;Door 2 Door;vaste prijs;grijze stroom;7-7-2005;2-4-2009;verlengd;Midden;Paar met kinderen;1900 tot 1939;Rijtjeshuis;tussen modaal en 2 keer modaal;Hoog
136675;12;14742;0;2978;3200;Y;Door 2 Door;variabele prijs;grijze stroom;2-7-2005;28-3-2008;niet verlengd;Laag;Paar zonder kinderen;1940 tot 1969;Rijtjeshuis;tussen modaal en minimum;Laag
136711;36;1816;5210;0;0;Y;Telemarketing;variabele prijs;grijze stroom;7-7-2005;1-1-2012;niet verlengd;Hoog;Paar zonder kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Hoog
136725;99;1948;0;1595;1721;Y;Telemarketing;vaste prijs;grijze stroom;7-7-2005;13-9-2009;verlengd;Hoog;Paar met kinderen;Voor 1899;Vrijstaand;Onbekend;Midden
136730;24;2735;0;4718;3900;Y;Telemarketing;vaste prijs;grijze stroom;21-7-2005;24-8-2006;verlengd;Hoog;Paar met kinderen;1970 tot 1989;Rijtjeshuis;Onbekend;Midden
136764;12;945;0;495;1033;Y;Telemarketing;vaste prijs;grijze stroom;7-7-2005;14-7-2006;niet verlengd;Midden;Paar zonder kinderen;1970 tot 1989;Lage flat;tussen modaal en 2 keer modaal;Laag
136902;99;1405;3085;0;0;Y;Telemarketing;vaste prijs;grijze stroom;8-7-2005;8-10-2017;verlengd;Laag;Paar met kinderen;1900 tot 1939;Rijtjeshuis;tussen modaal en minimum;Hoog
136940;36;1756;0;1625;4071;Y;Telemarketing;variabele prijs;grijze stroom;8-7-2005;30-7-2009;niet verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;Onbekend;Laag
136966;24;1974;0;1994;2698;Y;Telemarketing;vaste prijs;grijze stroom;14-7-2005;2-9-2007;niet verlengd;Laag;Paar met kinderen;1970 tot 1989;Twee onder een kap;Onbekend;Hoog
136985;24;708;150;0;0;Y;Telemarketing;vaste prijs;grijze stroom;14-7-2005;3-4-2006;verlengd;Laag;Alleenstaand;1990 tot 1999;Lage flat;minimum;Midden
137058;12;496;3959;0;0;N;Speciale sales acties;vaste prijs;grijze stroom;9-7-2005;10-7-2010;niet verlengd;Midden;Paar met kinderen;Voor 1899;Vrijstaand;tussen modaal en 2 keer modaal;Midden
137079;12;150;3073;0;0;Y;Telemarketing;vaste prijs;grijze stroom;9-7-2005;9-7-2006;verlengd;Laag;Paar met kinderen;1940 tot 1969;Hoge flat;Onbekend;Midden
